数据集,视频文件,Ground Truth,预测结果,正确性,描述摘要
"大样本事故数据集","111.mp4",事故,YES,✓,"监控画面显示，在夜间一个十字路口的人行横道上，一辆深色轿车（ID:13）与一辆红色轿车（ID:2）发生了严重的正面碰撞事故。碰撞发生在帧3到帧4之间，瞬间产生了"
"大样本事故数据集","112.mp4",事故,YES,✓,"监控画面显示，在一段夜间弯道上，一辆红色大货车从左侧驶入，与对向行驶的白色小车发生剧烈侧面碰撞。碰撞发生在画面中央，产生了明显的火花和烟雾，是典型的车辆碰撞事故"
"大样本事故数据集","113.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在道路中央弯道处的正面碰撞事故。一辆红色SUV与一辆白色小型货车在行驶过程中发生直接碰撞，碰撞瞬间可见明显的冲击和烟尘，两车均受到撞击"
"大样本事故数据集","114.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。在视频片段的第4-5帧，两辆轿车在高速公路上发生猛烈碰撞，其中一辆白色车辆被撞击后腾空翻滚，车身姿态完全失控，这是典型"
"大样本事故数据集","115.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在路口的交通事故。一辆红色大型货车在行驶过程中与一辆白色轿车发生侧面碰撞，导致白色轿车失控并停在路中。事故过程完整可见，包括碰撞瞬间、"
"大样本事故数据集","116.mp4",事故,YES,✓,"在视频片段的第6帧（t=8.4s），一辆蓝色货车与一辆白色货车在道路交叉口发生剧烈正面碰撞。碰撞瞬间，两车车头紧密接触，产生大量烟尘和碎片，车辆前部结构发生明显"
"大样本事故数据集","117.mp4",事故,YES,✓,"在一段高架桥上，一辆红色货车从后方高速驶来，与前方一辆停靠在路边、车厢内装满黄色袋装货物的卡车发生追尾事故。碰撞发生在视频片段的第10帧左右，红色货车车头猛烈撞"
"大样本事故数据集","118.mp4",事故,POST_EVENT_ONLY,✓,"监控画面显示一起已发生的交通事故。一辆货车在高速公路弯道处发生侧翻，导致车厢损毁，大量货物散落一地。虽然未捕捉到碰撞瞬间，但事故后果（车辆侧翻、货物散落）非常明"
"大样本事故数据集","119.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间十字路口的两车相撞事故。两辆白色轿车分别从道路两侧驶入路口，在中心位置发生侧面碰撞，导致车辆姿态失控。该事故有明确的物理接触和车"
"大样本事故数据集","120.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在高速公路上的交通事故。一辆白色小轿车在行驶过程中与一辆大型货车发生侧面碰撞，导致小轿车失控旋转并产生烟雾。整个碰撞过程在画面中清晰可"
"大样本事故数据集","121.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的两车碰撞事故。一辆白色轿车在行驶过程中与一辆正在进行左转的银色面包车发生侧面碰撞，撞击力度较大，导致面包车失控旋转并伴有烟"
"大样本事故数据集","122.mp4",事故,YES,✓,"在视频片段的第11帧（约14.67秒），监控画面清晰记录了一起追尾交通事故。一辆白色厢式货车与前方行驶的一辆深色轿车发生直接碰撞，撞击点位于深色轿车的尾部。碰撞"
"大样本事故数据集","123.mp4",事故,YES,✓,"监控画面显示，在高速公路场景下，一辆大型货车在行驶过程中向右变道，与同向行驶的一辆小型轿车发生侧面碰撞。碰撞发生在视频片段的中间时段（约第5-6秒），货车车头与"
"大样本事故数据集","124.mp4",事故,YES,✓,"监控画面显示，在斑马线区域，一辆白色面包车在行驶过程中与一辆摩托车发生碰撞。从帧5到帧6的连续画面中，可以清晰看到两车发生物理接触，摩托车驾驶员因撞击而失去平衡"
"大样本事故数据集","125.mp4",事故,NO,✗,""
"大样本事故数据集","126.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故：一辆红色卡车在行驶过程中与一名骑摩托车的人发生碰撞，导致骑车人被撞倒地，摩托车及碎片散落在路面。事故发生在视频片段的第3-4帧之"
"大样本事故数据集","127.mp4",事故,NO,✗,""
"大样本事故数据集","128.mp4",事故,YES,✓,"在雨天湿滑的十字路口，监控画面清晰记录了一起交通事故。一辆绿色大货车在左转时未能避让直行的小型三轮车，导致两车发生侧面碰撞。碰撞瞬间，小三轮车被撞翻，车身部件散"
"大样本事故数据集","130.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。一辆白色轿车在行驶过程中与一辆迎面驶来的红色卡车发生猛烈碰撞。碰撞发生在画面中央，白色轿车的尾部与卡车的前部相撞，导致"
"大样本事故数据集","131.mp4",事故,YES,✓,"在视频片段的第5至6秒，两辆白色轿车于路口斑马线处发生明确的侧面碰撞事故。碰撞瞬间可见车辆姿态突变、车身旋转及扬起的烟尘，符合交通事故的物理接触和后果特征。其他"
"大样本事故数据集","132.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口斑马线附近的两车相撞事故。一辆灰色轿车在左转或直行过程中，与一辆从右侧驶来的白色轿车发生正面碰撞。碰撞瞬间两车车头接触，导致"
"大样本事故数据集","133.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在道路交叉口的两车相撞事故。一辆深色SUV沿主路行驶，一辆黑色轿车从右侧支路驶出，两车在路口中心位置发生侧面碰撞。碰撞瞬间，SUV的行"
"大样本事故数据集","134.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间十字路口的交通事故。一辆白色面包车在通过斑马线时，与一名正在横穿马路的摩托车骑手发生正面碰撞。碰撞导致骑手被撞倒地，事故过程完整"
"大样本事故数据集","135.mp4",事故,YES,✓,"在视频片段的后半部分，观察到明显的交通事故。首先，在frame_04中，一辆白色面包车与一辆摩托车发生碰撞，导致摩托车倒地，面包车前部受损。紧接着，在frame"
"大样本事故数据集","136.mp4",事故,YES,✓,"在一段雨天高速公路的监控画面中，确认发生了一起交通事故。一辆深色轿车在右侧行车道行驶至弯道时，因路面湿滑导致车辆失控，发生剧烈的侧滑和旋转，车身与地面摩擦产生大"
"大样本事故数据集","137.mp4",事故,YES,✓,"在高速公路出口处，一辆红色大型货车在向右变道时，未能保持安全距离，其车头与一辆正常行驶的黑色轿车左侧车身发生刮擦碰撞。事故导致黑色轿车被挤向路边，货车也出现晃动"
"大样本事故数据集","138.mp4",事故,YES,✓,"视频片段记录了一起发生在十字路口斑马线上的交通事故。一辆黑色轿车在行驶过程中与一辆摩托车发生碰撞，导致摩托车及骑手倒地。事故后果清晰可见，包括倒地的车辆、人员和"
"大样本事故数据集","139.mp4",事故,YES,✓,"监控画面明确记录了一起严重的交通事故。一辆红色半挂卡车在通过十字路口时，与一辆从侧方驶来的白色面包车发生正面碰撞。碰撞导致白色面包车当场侧翻、车身严重挤压变形，"
"大样本事故数据集","140.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。在时间戳00:56:31左右，一辆高速行驶的车辆（可能因失控或撞击障碍物）发生剧烈碰撞，现场瞬间爆发出大量火花和浓烟，车辆"
"大样本事故数据集","141.mp4",事故,YES,✓,"根据监控画面，在00:56:32左右，一辆深色汽车高速驶入画面并猛烈撞击道路左侧的白色护栏。碰撞过程清晰可见，伴随大量火花和烟尘，车辆随即失控侧滑。此为一起确认"
"大样本事故数据集","142.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。在十字路口，一辆红色卡车高速闯入，与一辆停在斑马线前的白色SUV发生侧面碰撞。碰撞过程在画面中清晰可见，伴随明显的物理"
"大样本事故数据集","144.mp4",事故,YES,✓,"监控画面记录了一起严重的道路交通事故。一辆黑色轿车与一辆银灰色面包车在十字路口相撞，撞击力度巨大，导致面包车瞬间侧翻。事故后，一名人员从侧翻的面包车中爬出，黑色"
"大样本事故数据集","145.mp4",事故,YES,✓,"监控画面显示，在夜间一个湿滑的十字路口，两辆大型货车在斑马线区域发生了正面或侧面碰撞。碰撞发生在第8至10帧之间，伴随有明显的烟雾或水汽喷溅，表明发生了剧烈的物"
"大样本事故数据集","146.mp4",事故,YES,✓,"监控画面清晰记录了一起两辆红色重型卡车的侧面碰撞事故。一辆平板卡车从左侧车道强行变道，其车头撞击了前方自卸卡车的右侧车身，导致剧烈震动、烟尘四起和车辆偏移，构成"
"大样本事故数据集","147.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故：一辆红色卡车在斑马线处与一辆三轮车发生正面碰撞。碰撞瞬间（约第2.4秒）三轮车被撞翻，骑车人被抛出，现场产生大量烟尘和散落物。事"
"大样本事故数据集","148.mp4",事故,YES,✓,"在视频片段的第3-4帧（约3.7秒），于十字路口斑马线中心位置，一辆白色轿车与一辆三轮车发生剧烈正面碰撞。碰撞导致三轮车驾驶员被抛出车外，车辆结构严重受损并伴随"
"大样本事故数据集","149.mp4",事故,YES,✓,"在监控画面中，一辆银色轿车在行驶至路口时，未能及时避让，其左前侧与停放在路边的红色卡车右后侧发生了直接碰撞。碰撞过程清晰可见，轿车在撞击后车身姿态发生改变，确认"
"大样本事故数据集","150.mp4",事故,YES,✓,"监控画面显示，在道路斑马线处，一辆白色轿车在行驶过程中与一名骑电动车的人员发生直接碰撞。碰撞导致电动车倒地，骑车人也随之摔倒在路面上，轿车紧急制动并转向避让。此"
"大样本事故数据集","151.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故：一辆白色SUV在路口与一名骑电动车的人员发生正面碰撞，导致骑车人被撞飞倒地，头盔脱落，事故后果明确。整个过程在帧3至帧4中完整呈"
"大样本事故数据集","152.mp4",事故,YES,✓,"监控画面显示，在道路中间位置，一辆白色轿车试图从右侧车道变道至左侧车道时，与正在左侧车道正常行驶的白色面包车发生了侧面刮擦事故。碰撞发生在视频片段的中段（约第6"
"大样本事故数据集","153.mp4",事故,YES,✓,"在夜间监控画面中，一辆红色汽车在通过人行横道时与一辆摩托车发生剧烈碰撞。碰撞发生在视频片段的第4秒左右，导致摩托车被撞飞，骑手倒地，现场有明显的烟尘和碎片散落。"
"大样本事故数据集","154.mp4",事故,UNCERTAIN,✗,"在夜间低光照的弯道场景中，监控画面显示多辆货车行驶。虽然未直接观察到碰撞瞬间，但元数据明确记录了多个目标在关键时间点（t=9.33s， t=12.00s， t="
"大样本事故数据集","155.mp4",事故,YES,✓,"在监控画面中，一辆黑色轿车于16:05:36左右在路口转弯时失控，猛烈撞击路边绿化带，导致车辆短暂腾空并扬起大量尘土，构成一起明确的交通事故。"
"大样本事故数据集","156.mp4",事故,NO,✗,""
"大样本事故数据集","157.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。一辆深色轿车在多车道公路上行驶时突然发生剧烈翻滚，导致车辆解体，大量碎片飞溅，并有人员被抛出车外。事故过程完整可见，属"
"大样本事故数据集","159.mp4",事故,YES,✓,"在视频第10帧（约13.33秒）清晰记录了一起交通事故。一辆白色轿车在通过斑马线时，与一辆从右侧驶入的红色三轮车发生正面碰撞。撞击力度巨大，导致三轮车侧翻解体，"
"大样本事故数据集","160.mp4",事故,YES,✓,"在监控画面的第5帧至第6帧之间，确认发生一起追尾交通事故。一辆红色轿车（ID:4）从后方撞上前方行驶的白色车辆（ID:5），导致两车发生物理接触，白色车辆被向前"
"大样本事故数据集","161.mp4",事故,YES,✓,"通过分析监控画面和检测元数据，可以确认在视频片段的第5-6帧发生了一起交通事故。一辆蓝色货车在高速公路上行驶时，从后方追尾了前方的一辆白色大巴车。碰撞过程清晰可"
"大样本事故数据集","162.mp4",事故,YES,✓,"视频片段清晰记录了一起交通事故。在时间戳约为2022-04-15 14:52:43的帧中，一辆白色轿车在多车道公路上行驶时，突然失控向右偏离，猛烈撞击路边的金属"
"大样本事故数据集","163.mp4",事故,YES,✓,"视频片段记录了一起发生在路口的严重交通事故。一辆红色小轿车在通过路口时，与一辆直行的红色大卡车发生侧面碰撞。碰撞瞬间清晰可见，小轿车被撞后失控旋转，现场扬起大量"
"大样本事故数据集","164.mp4",事故,YES,✓,"在隧道监控画面中，一辆银色轿车在行驶过程中与前方一辆红色货车发生侧面碰撞。事故发生在红色货车左后方，导致轿车瞬间失控并旋转。整个过程清晰可见，属于典型的追尾/变"
"大样本事故数据集","165.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的车辆碰撞事故。一辆白色轿车在行驶过程中失控，猛烈撞击了路边停放的一排车辆中的其中一辆。碰撞瞬间产生了明显的冲击力，导致白色轿车尾部严"
"大样本事故数据集","166.mp4",事故,YES,✓,"监控画面显示，在视频后半段（约13-15秒），一辆白色SUV突然从画面右侧高速驶入，与路边停放的车辆或固定物体发生猛烈碰撞，现场瞬间腾起巨大烟尘并伴有火光，确认"
"大样本事故数据集","168.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间斑马线附近的交通事故。一辆白色轿车在行驶过程中与一名骑电动车的人员发生碰撞，导致电动车被撞飞，骑车人倒地。事故过程完整，有明显的"
"大样本事故数据集","169.mp4",事故,YES,✓,"在高速公路上，一辆白色轿车在未确保安全的情况下强行变道，与前方正常行驶的深色SUV发生侧面碰撞。事故导致白色轿车失控旋转并撞上护栏，深色SUV也因撞击偏离车道。"
"大样本事故数据集","170.mp4",事故,YES,✓,"监控画面显示，在夜间十字路口，一辆疑似摩托车或电动车在道路右侧行驶时，与另一车辆发生猛烈碰撞。碰撞瞬间产生大量烟雾和碎片，导致该两轮车翻滚倒地，构成明确的交通事"
"大样本事故数据集","171.mp4",事故,YES,✓,"监控画面显示，在高速公路的右侧车道，一辆大型水泥搅拌车在行驶过程中与一辆红色三轮车发生追尾或侧面碰撞。碰撞瞬间，三轮车被猛烈撞击后翻倒，现场扬起大量尘土，有明显"
"大样本事故数据集","172.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在湿滑路面上的两车碰撞事故。一辆白色轿车在行驶过程中与一辆黑色轿车发生侧面碰撞，撞击点位于黑色轿车车头与白色轿车车尾。碰撞瞬间可见水花"
"大样本事故数据集","173.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故。在视频后半段，一辆红色大货车在路口行驶时，与一名骑摩托车的人发生碰撞。碰撞瞬间产生了明显的烟尘，摩托车手被撞飞，其轨迹在后续帧中"
"大样本事故数据集","174.mp4",事故,YES,✓,"在高速公路监控画面中，一辆大型厢式货车（ID:4）从右侧车道向左变道时，与左侧车道行驶的双层汽车运输车发生侧面刮擦碰撞。碰撞导致汽车运输车上层的一辆白色轿车位置"
"大样本事故数据集","175.mp4",事故,YES,✓,"在雨天湿滑的高速公路上，一辆红色卡车在行驶过程中突然失控，向右偏离正常车道，猛烈撞击中央隔离护栏。碰撞导致车辆姿态发生剧烈变化，并最终冲出路面，构成一起明确的单"
"大样本事故数据集","176.mp4",事故,POST_EVENT_ONLY,✓,"监控画面显示，在视频片段的后半段（约第7秒开始），一名摩托车驾驶员倒在蓝色大巴车（车牌号：苏DGB877）的左后方路面上，旁边有散落物。该人员在之前帧中为正常骑"
"大样本事故数据集","177.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的交通事故。一辆红色大货车在行驶过程中与一辆白色小货车发生侧面碰撞，导致白色小货车被撞偏移并扬起大量尘土。该事故有明确的物理"
"大样本事故数据集","178.mp4",事故,YES,✓,"在夜间监控画面中，一辆轿车与一辆三轮车在十字路口发生正面碰撞。碰撞过程清晰可见，三轮车被撞翻，驾驶员倒地，车辆碎片散落一地，构成一起明确的交通事故。"
"大样本事故数据集","179.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在道路中央的正面碰撞事故。一辆银色面包车与一辆白色小型货车在行驶过程中相撞，碰撞瞬间产生大量烟尘，两车均发生严重形变并失控旋转。该事故"
"大样本事故数据集","180.mp4",事故,YES,✓,"在视频片段的第6秒（frame_05），一辆蓝色卡车在通过十字路口时发生侧翻事故。车辆在转弯过程中失去平衡，车身严重倾斜，构成明确的交通事故。现场无其他车辆与之"
"大样本事故数据集","181.mp4",事故,YES,✓,"监控画面显示，在2022年7月25日凌晨4点38分31秒左右，一辆深色卡车在湿滑的道路上行驶时，突然向右偏离车道，猛烈撞击路边的未知物体。撞击瞬间产生大量烟尘或"
"大样本事故数据集","182.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。在17:11:09左右，一辆满载木材的红色半挂车与另一辆红色货车在十字路口发生正面碰撞。碰撞过程剧烈，导致两车车头严重损毁"
"大样本事故数据集","183.mp4",事故,YES,✓,"在监控画面中，两辆大型货车在路口处发生剧烈的侧面碰撞。装载木材的红色卡车与另一辆红色篷布卡车相撞，导致篷布卡车车头严重受损并侧翻，现场有明显的撞击痕迹、散落物和"
"大样本事故数据集","184.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。在高速公路上，一辆银色轿车与一辆深色SUV发生侧面碰撞，碰撞瞬间导致银色轿车失控、侧翻，并在路面上滑行后撞击路边护栏，"
"大样本事故数据集","185.mp4",事故,YES,✓,"在高速公路监控画面中，一辆深色轿车在行驶过程中突然失控，猛烈撞击右侧护栏。碰撞过程清晰可见，伴随剧烈的烟尘和碎片飞溅，车辆严重变形并旋转，同时有人员被抛出车外，"
"大样本事故数据集","186.mp4",事故,YES,✓,"在视频第12.8秒左右，一辆银灰色面包车与一辆深色轿车在十字路口中心发生正面碰撞。碰撞导致面包车当场翻滚并解体，现场扬起巨大烟尘，有车辆碎片散落。这是一个明确的"
"大样本事故数据集","187.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在高速公路上的追尾事故。一辆白色轿车从后方撞上一辆红色大货车的尾部，碰撞瞬间产生了明显的烟尘，表明发生了剧烈的物理接触。该事故发生在片"
"大样本事故数据集","188.mp4",事故,YES,✓,"在夜间一个湿滑的十字路口，两辆白色轿车在斑马线区域发生了严重的侧面碰撞事故。从画面中可以清晰看到碰撞发生的瞬间，伴随着剧烈的冲击、扬起的烟尘以及车辆部件的脱落和"
"大样本事故数据集","189.mp4",事故,YES,✓,"在一段隧道监控画面中，一辆白色货车从画面左侧驶入，在行驶过程中其后轮与地面发生剧烈摩擦，迸发出大量明亮的火花。这一现象清晰可见，是车辆发生机械故障（如爆胎）或失"
"大样本事故数据集","190.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故。一辆白色汽车在行驶过程中与一辆两轮车发生碰撞，导致两轮车驾驶员连人带车摔倒在路面上。事故发生在道路中央车道，有明确的碰撞瞬间和人"
"大样本事故数据集","192.mp4",事故,YES,✓,"监控画面记录了一起明确的交通事故。一辆红色货车在行驶至弯道时失控，猛烈撞击路边护栏，随后发生侧翻，整个过程在连续帧中清晰可见，属于典型的单车事故。"
"大样本事故数据集","193.mp4",事故,NO,✗,""
"大样本事故数据集","194.mp4",事故,YES,✓,"在夜间监控画面中，一辆快速行驶的大型货车在通过十字路口时，其车尾与停放在路边的一辆白色面包车发生了明显的刮擦事故。碰撞瞬间产生了清晰可见的火花，这是物理接触的直"
"大样本事故数据集","195.mp4",事故,NO,✗,""
"大样本事故数据集","196.mp4",事故,POST_EVENT_ONLY,✓,"监控画面显示，在夜间桥面上，一辆白色货车在行驶中失控撞向左侧护栏。从帧7开始，可以看到货车已停在路边，车头明显变形，护栏被撞断，碎片散落在路面上。虽然碰撞的瞬间"
"大样本事故数据集","198.mp4",事故,YES,✓,"监控画面显示，在一个十字路口的斑马线上，一名行人正在过马路。一辆红色轿车从后方驶来，在接近斑马线时未减速，直接撞上了正在行走的行人。碰撞发生在帧10至帧11之间"
"大样本事故数据集","199.mp4",事故,YES,✓,"在视频片段的后半段，于一个十字路口处，一辆正在左转的白色水泥搅拌车与一辆直行的蓝色集装箱货车发生侧面碰撞。从画面中可以清晰看到两车在接触瞬间的车身姿态变化和物理"
"大样本事故数据集","200.mp4",事故,YES,✓,"在夜间十字路口，监控画面清晰记录了一起车辆碰撞事故。一辆白色轿车（ID:34）在行驶过程中与另一辆白色轿车（ID:37）发生接触，导致后者车身姿态发生剧烈改变。"
"大样本事故数据集","201.mp4",事故,YES,✓,"在监控画面的第6帧（时间戳06:07:40），一辆红色小轿车在高速公路行驶过程中突然失控，其车尾猛烈撞击右侧护栏，导致车辆姿态剧变并扬起大量尘土。此为一次明确的"
"大样本事故数据集","202.mp4",事故,YES,✓,"监控画面完整记录了一起单车事故。一辆小型货车在道路左侧失控，先是车身倾斜，随后完全侧翻，并撞倒了路边的一棵树。事故过程清晰，有明显的物理接触和车辆形变，符合交通"
"大样本事故数据集","203.mp4",事故,NO,✗,""
"大样本事故数据集","204.mp4",事故,YES,✓,"在G60沪昆高速217K+750M处，监控画面清晰记录了一起追尾事故。在第6秒时，一辆白色面包车（ID:8）与前方黑色轿车（ID:13）发生碰撞，碰撞瞬间产生烟"
"大样本事故数据集","205.mp4",事故,YES,✓,"在视频第9至10秒的十字路口处，一辆白色轿车在左转时与一辆直行的红色大货车发生侧面碰撞。从画面中可以清晰看到两车接触瞬间产生的闪光和车辆的剧烈晃动，确认为一起交"
"大样本事故数据集","207.mp4",事故,YES,✓,"监控画面显示，一辆白色轿车在高速公路上行驶时突然失控，车尾撞向左侧护栏，引发刮擦并产生大量烟尘。该过程清晰可见物理接触和车辆姿态异常，符合交通事故判定标准。"
"大样本事故数据集","208.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在路口的两车碰撞事故。一辆蓝色货车在左转时，未能避让直行的红色小轿车，导致两车在路口中央发生侧面碰撞。碰撞瞬间可见红色轿车被撞击后发生"
"大样本事故数据集","209.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在隧道内的交通事故。一辆白色轿车在行驶过程中与一名骑自行车的人发生猛烈碰撞，导致骑车人被撞飞，现场留下大量散落物。事故过程完整可见，属"
"大样本事故数据集","210.mp4",事故,YES,✓,"在视频片段的第4-5帧，一辆深色轿车在夜间高架路上行驶时，未保持安全距离，突然向左偏移并与中央隔离带发生剧烈碰撞。碰撞过程清晰可见，伴有火花和车辆姿态的急剧变化"
"大样本事故数据集","211.mp4",事故,YES,✓,"在雨天湿滑的道路上，一辆大型罐车在转弯处失控，发生严重侧翻事故。车辆撞向路边护栏，导致车身倾覆并激起大量水雾和尘土。整个碰撞和翻车过程在监控画面中清晰可见，属于"
"大样本事故数据集","212.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。在高速公路桥下，一辆白色轿车与一辆红色半挂卡车发生猛烈碰撞。碰撞瞬间，白色轿车被撞得支离破碎，现场腾起巨大烟尘和碎片，事故"
"大样本事故数据集","213.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。在凌晨5点18分38秒左右，一名骑着摩托车的人员在行驶过程中与一辆迎面驶来的白色轿车发生猛烈碰撞。撞击瞬间，摩托车驾驶员被"
"大样本事故数据集","214.mp4",事故,YES,✓,"监控画面显示，在清晨5点18分38秒左右，一辆白色轿车在行驶过程中与一辆电动车发生正面碰撞。电动车驾驶员被撞倒，车辆失控，有明显的物理接触和人员倒地过程，确认为"
"大样本事故数据集","215.mp4",事故,YES,✓,"监控画面显示，在夜间湿滑的十字路口，一辆白色轿车与一辆深色车辆在行驶过程中发生侧面碰撞。碰撞发生在第7秒至第9秒之间，白色轿车在撞击后失控并伴随明显烟雾或水花，"
"大样本事故数据集","216.mp4",事故,YES,✓,"在隧道监控画面中，清晰记录了一起两车侧面碰撞事故。一辆白色小车在行驶过程中与另一辆亮着红色尾灯的车辆发生碰撞，导致白色车辆瞬间失控、旋转并滑向路肩，现场伴有撞击"
"大样本事故数据集","217.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间斑马线上的交通事故。一辆绿色三轮车在横穿马路时，与一辆直行的摩托车发生剧烈碰撞。碰撞导致三轮车当场翻倒，摩托车驾驶员被撞倒地，事"
"大样本事故数据集","218.mp4",事故,YES,✓,"视频清晰记录了一起发生在十字路口的正面碰撞事故。一辆白色轿车从左侧驶入路口，与一辆从对向驶来的深色轿车在路口中央发生猛烈碰撞。碰撞导致两车前部严重损毁，现场扬起"
"大样本事故数据集","220.mp4",事故,NO,✗,""
"大样本事故数据集","221.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间十字路口的车辆碰撞事故。在视频第3-4秒左右，一辆深色轿车与一辆浅色轿车在路口中心发生剧烈碰撞，碰撞瞬间产生了明显的火花和烟雾，"
"大样本事故数据集","222.mp4",事故,YES,✓,"监控画面显示，在t=9.60s左右，一辆白色面包车在高速公路上行驶时突然失控，向右急转并冲出道路，撞入右侧的绿化带，扬起大量尘土，车辆最终停在路肩上。此为一起明"
"大样本事故数据集","223.mp4",事故,YES,✓,"在夜间高速公路上，一辆小型轿车在行驶过程中突然失控，横穿导流线区域，并与右侧车道正常行驶的一辆大型车辆发生猛烈碰撞。整个过程清晰可见，属于典型的车辆间碰撞事故。"
"大样本事故数据集","224.mp4",事故,YES,✓,"监控画面显示，在道路右侧车道行驶的一辆黑色轿车（ID:3）在行驶过程中突然失控，偏离正常行驶轨迹，猛烈撞击路边路缘石或人行道，导致车辆瞬间腾空翻滚，并扬起大量烟"
"大样本事故数据集","225.mp4",事故,YES,✓,"监控画面显示，在凌晨03:40:19，一辆红色汽车在通过收费站时，未减速直接撞向右侧的收费亭结构。碰撞瞬间产生了大量烟雾，是典型的交通事故特征，确认为一起车辆与"
"大样本事故数据集","226.mp4",事故,YES,✓,"监控画面显示，在夜间，一辆行驶中的汽车未减速直接撞向路边的停车收费亭。碰撞发生在第5至6秒之间，撞击点产生了明显的冲击云雾，车辆轨迹随后中断，确认为一起交通事故"
